id_filial,descricao,empresa,desc_empresa,id_produto,id_epi,descricao_produto,id_tamanho,qtde_entrada,saldoestoque,dataentrada
453,POSTERUS SUPERMERCADOS LTDA. ITUPIRANGA,15,POSTERUS SUPERMERCADOS,52720,72,LUVA P/FRIO TAM P,2,4.000000,0.000000,2024-05-30 18:36:37.670
285,MATEUS SUPERMERCADOS S.A. SUPER CRATEUS,2,MATEUS SUPERMERCADOS,240534,26,CALCA FRIGORIFICA AZUL TAM P,2,3.000000,0.000000,2024-05-30 18:23:21.980
525,MATEUS SUPERMERCADOS S.A. MIX MATEUS CAXANGA,2,MATEUS SUPERMERCADOS,52782,19,BOTA COM BICO DE ACO TAM 41,21,1.000000,1.000000,2024-05-21 16:50:49.280
276,MATEUS SUPERMERCADOS S.A. MIX BENGUI,2,MATEUS SUPERMERCADOS,52781,19,BOTA COM BICO DE ACO TAM 42,22,1.000000,-3.000000,2024-05-23 10:15:10.763
96,MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO,2,MATEUS SUPERMERCADOS,502312,77,AVENTAL EM VINIL TRANSPARENTE,11,1.000000,17.000000,2024-05-23 09:46:54.610
512,MATEUS SUPERMERCADOS S.A. MIX ITABUNA,2,MATEUS SUPERMERCADOS,502326,3,BALACLAVA BRANCA,11,1.000000,11.000000,2024-05-28 16:42:40.733
3,MATEUS SUPERMERCADOS S.A. SUPER SANTA INES,2,MATEUS SUPERMERCADOS,502312,77,AVENTAL EM VINIL TRANSPARENTE,11,1.000000,11.000000,2024-05-22 10:15:55.857
285,MATEUS SUPERMERCADOS S.A. SUPER CRATEUS,2,MATEUS SUPERMERCADOS,89950,25,JAPONA FRIGORIFICA AZUL TAM M,3,5.000000,6.000000,2024-06-04 10:02:36.123
525,MATEUS SUPERMERCADOS S.A. MIX MATEUS CAXANGA,2,MATEUS SUPERMERCADOS,520440,76,BOTA COM BICO DE COMPOSITE TAM 44,24,1.000000,1.000000,2024-05-21 16:50:51.000
20,MATEUS SUPERMERCADOS S.A. MIX VINHAIS,2,MATEUS SUPERMERCADOS,89952,1,CAPACETE ABA FRONTA AMARELO C/CARN,11,10.000000,10.000000,2024-05-23 10:17:07.287
512,MATEUS SUPERMERCADOS S.A. MIX ITABUNA,2,MATEUS SUPERMERCADOS,89953,26,CALCA FRIGORIFICA AZUL TAM M,3,1.000000,10.000000,2024-05-28 16:42:40.703
20,MATEUS SUPERMERCADOS S.A. MIX VINHAIS,2,MATEUS SUPERMERCADOS,51957,23,BOTA COM BICO DE PLASTICO TAM 34,14,40.000000,40.000000,2024-06-04 14:42:42.903
502,MATEUS SUPERMERCADOS S.A. SUPER SANTA CLARA,2,MATEUS SUPERMERCADOS,89969,21,BOTA PVC CANO MEDIO BRANCA TAM 44,24,1.000000,0.000000,2024-05-30 19:14:16.033
512,MATEUS SUPERMERCADOS S.A. MIX ITABUNA,2,MATEUS SUPERMERCADOS,52173,23,BOTA COM BICO DE PLASTICO TAM 38,18,1.000000,1.000000,2024-05-21 16:56:53.927
203,MATEUS SUPERMERCADOS S.A. SUPER TAILANDIA,2,MATEUS SUPERMERCADOS,514540,56,MEIA TERMICA ALGODAO,11,1.000000,19.000000,2024-05-21 14:56:38.310
20,MATEUS SUPERMERCADOS S.A. MIX VINHAIS,2,MATEUS SUPERMERCADOS,51957,23,BOTA COM BICO DE PLASTICO TAM 34,14,5.000000,5.000000,2024-05-23 10:17:07.287
285,MATEUS SUPERMERCADOS S.A. SUPER CRATEUS,2,MATEUS SUPERMERCADOS,502312,77,AVENTAL EM VINIL TRANSPARENTE,11,1.000000,-43.000000,2024-05-23 10:00:50.683
96,MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO,2,MATEUS SUPERMERCADOS,520437,76,BOTA COM BICO DE COMPOSITE TAM 43,23,2.000000,0.000000,2024-05-30 18:15:39.227
96,MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO,2,MATEUS SUPERMERCADOS,52720,72,LUVA P/FRIO TAM P,2,13.000000,0.000000,2024-05-30 18:15:39.180
285,MATEUS SUPERMERCADOS S.A. SUPER CRATEUS,2,MATEUS SUPERMERCADOS,89960,21,BOTA PVC CANO MEDIO BRANCA TAM 39,19,1.000000,0.000000,2024-05-30 18:23:22.370
7,MATEUS SUPERMERCADOS S.A. HIPER COHAMA,2,MATEUS SUPERMERCADOS,149419,24,BOTA WORK BOOT MARRON TAM 42,22,1.000000,0.000000,2024-05-30 18:06:41.320
203,MATEUS SUPERMERCADOS S.A. SUPER TAILANDIA,2,MATEUS SUPERMERCADOS,149458,22,BOTA HIDROFUGADA BRANCA TAM 43,23,5.000000,0.000000,2024-05-30 18:46:20.033
285,MATEUS SUPERMERCADOS S.A. SUPER CRATEUS,2,MATEUS SUPERMERCADOS,52173,23,BOTA COM BICO DE PLASTICO TAM 38,18,3.000000,0.000000,2024-05-30 18:23:21.857
7,MATEUS SUPERMERCADOS S.A. HIPER COHAMA,2,MATEUS SUPERMERCADOS,95170,74,LUVA NITRILICA VERDE TAM M,3,1.000000,0.000000,2024-05-30 18:06:41.667
203,MATEUS SUPERMERCADOS S.A. SUPER TAILANDIA,2,MATEUS SUPERMERCADOS,89966,21,BOTA PVC CANO MEDIO BRANCA TAM 42,22,1.000000,0.000000,2024-05-30 18:46:20.097
61,INDUSTRIA DE PAES E MASSAS MATEUS LTDA. C PANIFICACAO CONGELADA,1,INDUSTRIA DE MASSAS E PAES,193747,30,PROTETOR AUD CONCHA,11,10.000000,11.000000,2024-05-31 12:06:42.713
285,MATEUS SUPERMERCADOS S.A. SUPER CRATEUS,2,MATEUS SUPERMERCADOS,89959,21,BOTA PVC CANO MEDIO BRANCA TAM 38,18,1.000000,0.000000,2024-05-30 18:23:22.497
7,MATEUS SUPERMERCADOS S.A. HIPER COHAMA,2,MATEUS SUPERMERCADOS,149444,22,BOTA HIDROFUGADA BRANCA TAM 35,15,1.000000,0.000000,2024-05-30 18:06:41.337
276,MATEUS SUPERMERCADOS S.A. MIX BENGUI,2,MATEUS SUPERMERCADOS,92471,8,LUVA LATEX TAM M,3,1.000000,0.000000,2024-05-30 18:21:11.553
276,MATEUS SUPERMERCADOS S.A. MIX BENGUI,2,MATEUS SUPERMERCADOS,52716,4,OCULOS DE SEGURANï¿½A INCOLOR,11,2.000000,0.000000,2024-05-30 18:21:11.460
96,MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO,2,MATEUS SUPERMERCADOS,502312,77,AVENTAL EM VINIL TRANSPARENTE,11,1.000000,16.000000,2024-05-25 11:05:43.753
285,MATEUS SUPERMERCADOS S.A. SUPER CRATEUS,2,MATEUS SUPERMERCADOS,149449,22,BOTA HIDROFUGADA BRANCA TAM 37,17,1.000000,0.000000,2024-05-30 18:23:22.370
415,POSTERUS SUPERMERCADOS LTDA. SAO BERNARDO,15,POSTERUS SUPERMERCADOS,149446,22,BOTA HIDROFUGADA BRANCA TAM 36,16,1.000000,0.000000,2024-05-30 19:28:53.360
285,MATEUS SUPERMERCADOS S.A. SUPER CRATEUS,2,MATEUS SUPERMERCADOS,89950,25,JAPONA FRIGORIFICA AZUL TAM M,3,13.000000,0.000000,2024-05-30 18:23:21.527
502,MATEUS SUPERMERCADOS S.A. SUPER SANTA CLARA,2,MATEUS SUPERMERCADOS,95172,74,LUVA NITRILICA VERDE TAM GG,5,1.000000,0.000000,2024-05-30 19:14:16.050
276,MATEUS SUPERMERCADOS S.A. MIX BENGUI,2,MATEUS SUPERMERCADOS,89953,26,CALCA FRIGORIFICA AZUL TAM M,3,15.000000,0.000000,2024-05-30 18:21:11.320
203,MATEUS SUPERMERCADOS S.A. SUPER TAILANDIA,2,MATEUS SUPERMERCADOS,52711,15,LUVA VAQUETA,2,1.000000,0.000000,2024-05-30 18:46:20.160
20,MATEUS SUPERMERCADOS S.A. MIX VINHAIS,2,MATEUS SUPERMERCADOS,89952,1,CAPACETE ABA FRONTA AMARELO C/CARN,11,50.000000,60.000000,2024-05-29 15:43:27.427
96,MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO,2,MATEUS SUPERMERCADOS,149451,22,BOTA HIDROFUGADA BRANCA TAM 38,18,1.000000,-1.000000,2024-05-31 10:26:33.013
7,MATEUS SUPERMERCADOS S.A. HIPER COHAMA,2,MATEUS SUPERMERCADOS,240534,26,CALCA FRIGORIFICA AZUL TAM P,2,2.000000,0.000000,2024-05-30 18:06:41.150
276,MATEUS SUPERMERCADOS S.A. MIX BENGUI,2,MATEUS SUPERMERCADOS,95169,74,LUVA NITRILICA VERDE TAM P,2,1.000000,0.000000,2024-05-30 18:21:11.477
285,MATEUS SUPERMERCADOS S.A. SUPER CRATEUS,2,MATEUS SUPERMERCADOS,149419,24,BOTA WORK BOOT MARRON TAM 42,22,2.000000,0.000000,2024-05-30 18:23:21.793
